Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NYA,2008-08-01,8438.7099609375,8452.009765625,8356.4296875,8379.150390625,8379.150390625,4684870000.0
^IXIC,2008-08-01,2326.830078125,2328.949951171875,2286.409912109375,2310.9599609375,2310.9599609375,2312140000.0
^FTSE,2008-08-01,5411.89990234375,5411.89990234375,5321.2998046875,5354.7001953125,5354.7001953125,1341947000.0
^NSEI,2008-08-01,4331.60009765625,4422.9501953125,4235.7001953125,4413.5498046875,4413.5498046875,0.0
^BSESN,2008-08-01,14064.259765625,14682.330078125,14032.8701171875,14656.6904296875,14656.6904296875,40200.0
^N225,2008-08-01,13276.5703125,13294.169921875,13039.2099609375,13094.58984375,13094.58984375,135000000.0
000001.SS,2008-08-01,2751.02001953125,2830.763916015625,2721.951904296875,2801.81689453125,2801.81689453125,49200.0
^N100,2008-08-01,753.0,757.4099731445312,744.2100219726562,747.1400146484375,747.1400146484375,308081600.0
^DJI,2008-08-01,11379.8896484375,11425.73046875,11267.0498046875,11326.3203125,11326.3203125,189700000.0
^GSPC,2008-08-01,1269.4200439453125,1270.52001953125,1254.5400390625,1260.31005859375,1260.31005859375,4684870000.0
GC=F,2008-08-01,904.9000244140624,916.0999755859376,902.0999755859376,909.0,909.0,1834.0
CL=F,2008-08-01,124.05999755859376,128.60000610351562,122.0999984741211,125.0999984741211,125.0999984741211,277311.0
^NYA,2008-08-04,8379.16015625,8379.16015625,8253.4501953125,8268.650390625,8268.650390625,4562280000.0
^IXIC,2008-08-04,2309.75,2309.75,2280.929931640625,2285.56005859375,2285.56005859375,2010200000.0
^FTSE,2008-08-04,5354.7001953125,5414.7001953125,5310.2998046875,5320.2001953125,5320.2001953125,972098300.0
^NSEI,2008-08-04,4426.10009765625,4436.14990234375,4362.89990234375,4395.35009765625,4395.35009765625,0.0
^BSESN,2008-08-04,14594.6396484375,14725.9404296875,14503.509765625,14577.8701171875,14577.8701171875,24800.0
^N225,2008-08-04,13083.2802734375,13113.9404296875,12910.169921875,12933.1796875,12933.1796875,142000000.0
000001.SS,2008-08-04,2782.985107421875,2793.257080078125,2738.85009765625,2741.739990234375,2741.739990234375,37200.0
^N100,2008-08-04,747.3499755859375,751.77001953125,741.2000122070312,743.0999755859375,743.0999755859375,270769400.0
^DJI,2008-08-04,11326.3203125,11382.169921875,11221.5302734375,11284.150390625,11284.150390625,170250000.0
^GSPC,2008-08-04,1253.27001953125,1260.489990234375,1247.449951171875,1249.010009765625,1249.010009765625,4562280000.0
GC=F,2008-08-04,912.7000122070312,915.2999877929688,894.4000244140625,900.0999755859375,900.0999755859375,2415.0
CL=F,2008-08-04,125.9800033569336,126.3499984741211,119.5,121.41000366210938,121.41000366210938,294048.0
^NYA,2008-08-05,8268.7001953125,8471.849609375,8268.7001953125,8471.849609375,8471.849609375,1219310000.0
^IXIC,2008-08-05,2308.139892578125,2349.830078125,2303.6298828125,2349.830078125,2349.830078125,2324730000.0
^FTSE,2008-08-05,5320.2001953125,5454.5,5299.7001953125,5454.5,5454.5,1655153000.0
^NSEI,2008-08-05,4395.7998046875,4515.14990234375,4376.0,4502.85009765625,4502.85009765625,0.0
^BSESN,2008-08-05,14562.6796875,14986.6298828125,14529.2099609375,14961.0703125,14961.0703125,35600.0
^N225,2008-08-05,12957.009765625,13049.580078125,12893.33984375,12914.66015625,12914.66015625,144600000.0
000001.SS,2008-08-05,2751.199951171875,2762.262939453125,2684.73388671875,2690.74609375,2690.74609375,42400.0
^N100,2008-08-05,746.1400146484375,761.0,743.6599731445312,760.9600219726562,760.9600219726562,410174700.0
^DJI,2008-08-05,11286.01953125,11615.9296875,11286.01953125,11615.76953125,11615.76953125,234990000.0
^GSPC,2008-08-05,1254.8699951171875,1284.8800048828125,1254.6700439453125,1284.8800048828125,1284.8800048828125,1219310000.0
GC=F,2008-08-05,895.4000244140625,895.4000244140625,873.2999877929688,878.5999755859375,878.5999755859375,790.0
CL=F,2008-08-05,121.0,121.2300033569336,118.0,119.16999816894533,119.16999816894533,316589.0
^NYA,2008-08-06,8471.83984375,8513.8798828125,8418.7998046875,8501.4404296875,8501.4404296875,4873420000.0
^IXIC,2008-08-06,2349.169921875,2385.77001953125,2333.530029296875,2378.3701171875,2378.3701171875,2228710000.0
^FTSE,2008-08-06,5454.5,5498.60009765625,5440.10009765625,5486.10009765625,5486.10009765625,1634412000.0
^NSEI,2008-08-06,4506.25,4615.89990234375,4503.89990234375,4517.5498046875,4517.5498046875,0.0
^BSESN,2008-08-06,15263.650390625,15422.8203125,15035.599609375,15073.5400390625,15073.5400390625,32600.0
^N225,2008-08-06,13059.4296875,13295.509765625,13048.9697265625,13254.8896484375,13254.8896484375,156300000.0
000001.SS,2008-08-06,2711.60205078125,2743.113037109375,2678.862060546875,2719.367919921875,2719.367919921875,40600.0
^N100,2008-08-06,766.4099731445312,772.219970703125,762.1699829101562,771.5499877929688,771.5499877929688,394184900.0
^DJI,2008-08-06,11603.6396484375,11685.4599609375,11521.3203125,11656.0703125,11656.0703125,180060000.0
^GSPC,2008-08-06,1283.989990234375,1291.6700439453125,1276.0,1289.18994140625,1289.18994140625,4873420000.0
GC=F,2008-08-06,880.7000122070312,885.5999755859375,875.0,875.5999755859375,875.5999755859375,1330.0
CL=F,2008-08-06,118.75,120.48999786376952,117.11000061035156,118.58000183105467,118.58000183105467,307994.0
^NYA,2008-08-07,8501.7001953125,8501.7001953125,8321.0400390625,8338.400390625,8338.400390625,5319380000.0
^IXIC,2008-08-07,2362.7900390625,2386.43994140625,2351.320068359375,2355.72998046875,2355.72998046875,2189120000.0
^FTSE,2008-08-07,5486.10009765625,5539.2998046875,5450.89990234375,5477.5,5477.5,1552156300.0
^NSEI,2008-08-07,4515.25,4580.14990234375,4493.7001953125,4523.85009765625,4523.85009765625,0.0
^BSESN,2008-08-07,15031.8603515625,15280.0595703125,14992.9697265625,15117.25,15117.25,25800.0
^N225,2008-08-07,13257.990234375,13257.990234375,13034.150390625,13124.990234375,13124.990234375,135900000.0
000001.SS,2008-08-07,2717.501953125,2742.705078125,2691.35498046875,2727.576904296875,2727.576904296875,39400.0
^N100,2008-08-07,769.8200073242188,782.1900024414062,768.5599975585938,772.1599731445312,772.1599731445312,376838300.0
^DJI,2008-08-07,11655.419921875,11655.580078125,11416.7001953125,11431.4296875,11431.4296875,229610000.0
^GSPC,2008-08-07,1286.510009765625,1286.510009765625,1264.2900390625,1266.0699462890625,1266.0699462890625,5319380000.0
GC=F,2008-08-07,882.2000122070312,883.7999877929688,870.2999877929688,870.7000122070312,870.7000122070312,335.0
CL=F,2008-08-07,118.8000030517578,121.77999877929688,117.91000366210938,120.0199966430664,120.0199966430664,304204.0
^NYA,2008-08-08,8338.2900390625,8467.2802734375,8279.98046875,8460.3203125,8460.3203125,4966810000.0
^IXIC,2008-08-08,2356.840087890625,2416.39990234375,2352.0400390625,2414.10009765625,2414.10009765625,2189630000.0
^FTSE,2008-08-08,5477.5,5507.2001953125,5410.7998046875,5489.2001953125,5489.2001953125,1416347700.0
^NSEI,2008-08-08,4518.35009765625,4546.35009765625,4464.0,4529.5,4529.5,0.0
^BSESN,2008-08-08,15036.5703125,15228.8203125,14888.1201171875,15167.8203125,15167.8203125,21000.0
^N225,2008-08-08,13026.5302734375,13259.73046875,12962.8203125,13168.41015625,13168.41015625,162300000.0
000001.SS,2008-08-08,2724.429931640625,2725.930908203125,2595.9169921875,2605.718994140625,2605.718994140625,48600.0
^N100,2008-08-08,767.1900024414062,779.0599975585938,765.5999755859375,778.8699951171875,778.8699951171875,348455600.0
^DJI,2008-08-08,11432.08984375,11759.9599609375,11388.0400390625,11734.3203125,11734.3203125,212830000.0
^GSPC,2008-08-08,1266.2900390625,1297.8499755859375,1262.1099853515625,1296.3199462890625,1296.3199462890625,4966810000.0
GC=F,2008-08-08,868.7999877929688,869.5,851.0999755859375,857.7999877929688,857.7999877929688,303.0
CL=F,2008-08-08,119.9000015258789,120.08000183105467,114.62000274658205,115.1999969482422,115.1999969482422,297330.0
^NYA,2008-08-11,8460.240234375,8524.2001953125,8438.330078125,8492.9404296875,8492.9404296875,5067310000.0
^IXIC,2008-08-11,2407.550048828125,2461.64990234375,2402.530029296875,2439.949951171875,2439.949951171875,2272240000.0
^FTSE,2008-08-11,5489.2001953125,5541.7998046875,5477.7001953125,5541.7998046875,5541.7998046875,1121815600.0
^NSEI,2008-08-11,4529.35009765625,4625.2001953125,4529.35009765625,4620.39990234375,4620.39990234375,0.0
^BSESN,2008-08-11,15430.3095703125,15520.7099609375,15367.9697265625,15503.919921875,15503.919921875,26200.0
^N225,2008-08-11,13259.4599609375,13468.8095703125,13259.4599609375,13430.91015625,13430.91015625,113800000.0
000001.SS,2008-08-11,2595.89501953125,2601.501953125,2453.70703125,2470.073974609375,2470.073974609375,47200.0
^N100,2008-08-11,779.97998046875,788.75,778.9299926757812,788.739990234375,788.739990234375,280273500.0
^DJI,2008-08-11,11729.669921875,11867.1103515625,11675.5302734375,11782.349609375,11782.349609375,183190000.0
^GSPC,2008-08-11,1294.4200439453125,1313.1500244140625,1291.4100341796875,1305.3199462890625,1305.3199462890625,5067310000.0
GC=F,2008-08-11,858.2999877929688,863.4000244140625,818.0,821.5,821.5,286.0
CL=F,2008-08-11,115.1999969482422,116.9000015258789,112.72000122070312,114.4499969482422,114.4499969482422,295334.0
^NYA,2008-08-12,8492.509765625,8492.509765625,8372.1103515625,8398.7099609375,8398.7099609375,4711290000.0
^IXIC,2008-08-12,2434.260009765625,2447.159912109375,2421.090087890625,2430.610107421875,2430.610107421875,2052610000.0
^FTSE,2008-08-12,5541.7998046875,5569.2001953125,5491.2998046875,5534.5,5534.5,1249922700.0
^NSEI,2008-08-12,4620.9501953125,4649.85009765625,4525.75,4552.25,4552.25,0.0
^BSESN,2008-08-12,15577.2001953125,15579.7802734375,15124.91015625,15212.1298828125,15212.1298828125,27000.0
^N225,2008-08-12,13397.990234375,13420.099609375,13276.150390625,13303.599609375,13303.599609375,125200000.0
000001.SS,2008-08-12,2445.216064453125,2484.74609375,2430.84912109375,2457.197998046875,2457.197998046875,36600.0
^N100,2008-08-12,785.6099853515625,791.8900146484375,781.5399780273438,787.5800170898438,787.5800170898438,344337800.0
^DJI,2008-08-12,11781.7001953125,11782.349609375,11601.51953125,11642.4697265625,11642.4697265625,173590000.0
^GSPC,2008-08-12,1304.7900390625,1304.7900390625,1285.6400146484375,1289.5899658203125,1289.5899658203125,4711290000.0
GC=F,2008-08-12,826.4000244140625,826.4000244140625,803.5999755859375,808.2000122070312,808.2000122070312,99.0
CL=F,2008-08-12,114.52999877929688,115.9499969482422,112.30999755859376,113.01000213623048,113.01000213623048,303791.0
^NYA,2008-08-13,8398.7001953125,8410.7099609375,8292.6904296875,8375.3896484375,8375.3896484375,4787600000.0
^IXIC,2008-08-13,2424.320068359375,2443.43994140625,2404.030029296875,2428.6201171875,2428.6201171875,1995490000.0
^FTSE,2008-08-13,5534.5,5534.5,5437.10009765625,5448.60009765625,5448.60009765625,1399163100.0
^NSEI,2008-08-13,4548.0498046875,4572.64990234375,4497.25,4529.0498046875,4529.0498046875,0.0
^BSESN,2008-08-13,15030.2099609375,15272.5595703125,15013.0595703125,15093.1201171875,15093.1201171875,19200.0
^N225,2008-08-13,13205.6396484375,13205.6396484375,12953.33984375,13023.0498046875,13023.0498046875,125200000.0
000001.SS,2008-08-13,2440.52490234375,2458.76904296875,2370.737060546875,2446.297119140625,2446.297119140625,41000.0
^N100,2008-08-13,783.3099975585938,784.8400268554688,769.489990234375,770.1199951171875,770.1199951171875,333631000.0
^DJI,2008-08-13,11632.8095703125,11633.7802734375,11453.33984375,11532.9599609375,11532.9599609375,182550000.0
^GSPC,2008-08-13,1288.6400146484375,1294.030029296875,1274.8599853515625,1285.8299560546875,1285.8299560546875,4787600000.0
GC=F,2008-08-13,810.9000244140625,829.0999755859375,810.9000244140625,825.0,825.0,155.0
CL=F,2008-08-13,113.08999633789062,117.45999908447266,112.87000274658205,116.0,116.0,322967.0
^NYA,2008-08-14,8375.330078125,8412.599609375,8303.5400390625,8385.9697265625,8385.9697265625,4064000000.0
^IXIC,2008-08-14,2414.409912109375,2461.14990234375,2414.409912109375,2453.669921875,2453.669921875,1835830000.0
^FTSE,2008-08-14,5448.60009765625,5539.60009765625,5445.60009765625,5497.5,5497.5,1127815700.0
^NSEI,2008-08-14,4524.2001953125,4529.7998046875,4421.25,4430.7001953125,4430.7001953125,0.0
^BSESN,2008-08-14,15017.6796875,15033.2802734375,14686.66015625,14724.1796875,14724.1796875,22000.0
^N225,2008-08-14,12942.6103515625,13090.6796875,12926.98046875,12956.7998046875,12956.7998046875,116400000.0
000001.SS,2008-08-14,2432.197021484375,2454.2509765625,2409.010009765625,2437.08203125,2437.08203125,31400.0
^N100,2008-08-14,775.1199951171875,778.8599853515625,765.2899780273438,771.7999877929688,771.7999877929688,266980600.0
^DJI,2008-08-14,11532.0703125,11718.2802734375,11450.8896484375,11615.9296875,11615.9296875,159790000.0
^GSPC,2008-08-14,1282.1099853515625,1300.1099853515625,1276.8399658203125,1292.9300537109375,1292.9300537109375,4064000000.0
GC=F,2008-08-14,831.4000244140625,831.9000244140625,805.0,808.2000122070312,808.2000122070312,67.0
CL=F,2008-08-14,116.38999938964844,117.41999816894533,112.58999633789062,115.01000213623048,115.01000213623048,268197.0
^NYA,2008-08-15,8385.849609375,8407.2900390625,8338.83984375,8383.669921875,8383.669921875,4041820000.0
^IXIC,2008-08-15,2463.10009765625,2473.199951171875,2441.050048828125,2452.52001953125,2452.52001953125,1742180000.0
^FTSE,2008-08-15,5497.39990234375,5538.7998046875,5432.2001953125,5454.7998046875,5454.7998046875,964805800.0
^N225,2008-08-15,12991.91015625,13029.580078125,12952.2099609375,13019.41015625,13019.41015625,94700000.0
000001.SS,2008-08-15,2434.407958984375,2476.85791015625,2414.572998046875,2450.610107421875,2450.610107421875,31200.0
^N100,2008-08-15,776.27001953125,784.1900024414062,772.6699829101562,777.8099975585938,777.8099975585938,234064800.0
^DJI,2008-08-15,11611.2099609375,11709.8896484375,11599.73046875,11659.900390625,11659.900390625,215040000.0
^GSPC,2008-08-15,1293.8499755859375,1302.050048828125,1290.739990234375,1298.199951171875,1298.199951171875,4041820000.0
GC=F,2008-08-15,796.9000244140625,799.2000122070312,780.9000244140625,786.0,786.0,134.0
CL=F,2008-08-15,114.83000183105467,115.1999969482422,111.33999633789062,113.7699966430664,113.7699966430664,276806.0
^NYA,2008-08-18,8383.7900390625,8413.5302734375,8259.9697265625,8281.8603515625,8281.8603515625,3829290000.0
^IXIC,2008-08-18,2456.9599609375,2456.9599609375,2404.409912109375,2416.97998046875,2416.97998046875,1632610000.0
^FTSE,2008-08-18,5454.7998046875,5498.7001953125,5425.2998046875,5450.2001953125,5450.2001953125,727068400.0
^NSEI,2008-08-18,4430.7001953125,4447.39990234375,4379.85009765625,4393.0498046875,4393.0498046875,0.0
^BSESN,2008-08-18,14681.1396484375,14824.919921875,14600.650390625,14645.66015625,14645.66015625,19600.0
^N225,2008-08-18,12971.490234375,13270.3701171875,12934.2197265625,13165.4501953125,13165.4501953125,114100000.0
000001.SS,2008-08-18,2451.778076171875,2455.50390625,2318.926025390625,2319.867919921875,2319.867919921875,53600.0
^N100,2008-08-18,775.1400146484375,784.1400146484375,770.0599975585938,776.3200073242188,776.3200073242188,193985100.0
^DJI,2008-08-18,11659.650390625,11690.4296875,11434.1201171875,11479.3896484375,11479.3896484375,156290000.0
^GSPC,2008-08-18,1298.1400146484375,1300.219970703125,1274.510009765625,1278.5999755859375,1278.5999755859375,3829290000.0
GC=F,2008-08-18,792.0,801.7000122070312,792.0,799.7000122070312,799.7000122070312,22.0
CL=F,2008-08-18,113.94000244140624,115.3499984741211,112.0,112.87000274658205,112.87000274658205,178631.0
^NYA,2008-08-19,8281.8095703125,8281.8095703125,8180.8798828125,8212.4697265625,8212.4697265625,4159760000.0
^IXIC,2008-08-19,2404.949951171875,2410.9599609375,2376.669921875,2384.360107421875,2384.360107421875,1716280000.0
^FTSE,2008-08-19,5450.2001953125,5450.2001953125,5317.10009765625,5320.39990234375,5320.39990234375,1162376400.0
^NSEI,2008-08-19,4393.10009765625,4393.7001953125,4316.5498046875,4368.25,4368.25,0.0
^BSESN,2008-08-19,14517.759765625,14604.1103515625,14368.7197265625,14543.73046875,14543.73046875,17600.0
^N225,2008-08-19,13016.5,13016.5,12782.099609375,12865.0498046875,12865.0498046875,103300000.0
000001.SS,2008-08-19,2297.2451171875,2355.928955078125,2284.5849609375,2344.468994140625,2344.468994140625,38600.0
^N100,2008-08-19,768.469970703125,768.469970703125,756.6300048828125,757.0,757.0,272634400.0
^DJI,2008-08-19,11478.08984375,11478.169921875,11318.5,11348.5498046875,11348.5498046875,171580000.0
^GSPC,2008-08-19,1276.6500244140625,1276.6500244140625,1263.1099853515625,1266.68994140625,1266.68994140625,4159760000.0
